l1,aaa,lor,enroll,speaking,sex,family
Polish,47,4,100,483,Female,Indo-European
Russian,29,5,84,489,Female,Indo-European
Persian,40,3,77,520,Female,Indo-European
Portugese,23,3,97,525,Female,Indo-European
Éwé,19,2,46,544,Female,Niger-Congo
Russian,33,2,90,509,Female,Indo-European
Portugese,40,2,106,515,Female,Indo-European
Kurdish,18,2,47,494,Female,Indo-European
Russian,25,4,90,487,Female,Indo-European
Serbian,24,1,85,547,Female,Indo-European
Spanish,26,2,118,498,Female,Indo-European
Russian,30,3,90,564,Female,Indo-European
Croatian,48,2,93,497,Female,Indo-European
German,19,1,101,536,Female,Indo-European
Portugese,25,2,106,526,Female,Indo-European
Portugese,32,4,106,549,Female,Indo-European
Finnish,30,3,111,547,Female,Uralic
Turkish,15,4,79,480,Female,Altaic
Croatian,29,3,93,530,Female,Indo-European
Czech,25,2,90,502,Female,Indo-European
Bulgarian,24,2,90,542,Female,Indo-European
Polish,26,3,100,635,Female,Indo-European
English,28,1,94,537,Female,Indo-European
Russian,33,1,84,550,Female,Indo-European
English,27,3,105,523,Female,Indo-European
Persian,32,8,77,420,Female,Indo-European
Italian,24,21,99,626,Female,Indo-European
Russian,50,2,90,514,Female,Indo-European
German,15,4,101,516,Female,Indo-European
Croatian,36,2,93,506,Female,Indo-European
Chinese,25,3,67,493,Female,Sino-Tibetan
Russian,33,7,90,507,Female,Indo-European
French,26,3,113,531,Female,Indo-European
Croatian,34,3,93,548,Female,Indo-European
Russian,28,3,92,549,Female,Indo-European
Indonesian,26,2,64,501,Female,Austronesian
English,29,11,94,547,Female,Indo-European
Arabic,21,8,49,508,Female,Afro-Asiatic
Polish,21,4,100,536,Female,Indo-European
Croatian,33,2,85,540,Female,Indo-European
Indonesian,21,1,64,523,Female,Austronesian
Spanish,26,3,82,526,Female,Indo-European
Russian,32,2,90,534,Female,Indo-European
English,34,2,94,500,Female,Indo-European
Russian,30,2,96,524,Female,Indo-European
Spanish,27,1,83,565,Female,Indo-European
Romanian,33,1,86,491,Female,Indo-European
Serbian,22,13,85,513,Female,Indo-European
Spanish,27,2,93,511,Female,Indo-European
German,22,1,100,608,Female,Indo-European
Persian,21,3,77,494,Female,Indo-European
Croatian,34,3,85,492,Female,Indo-European
Azerbaijani,39,7,84,493,Female,Altaic
Romanian,24,3,86,531,Female,Indo-European
Portugese,17,2,106,555,Female,Indo-European
Japanese,31,2,101,481,Female,Japanese
Kurdish,32,3,67,513,Female,Indo-European
Serbian,23,7,85,530,Female,Indo-European
Portugese,24,2,106,497,Female,Indo-European
Chinese,15,5,67,510,Female,Sino-Tibetan
English,32,2,111,555,Female,Indo-European
Polish,30,0,100,542,Female,Indo-European
Polish,25,4,100,520,Female,Indo-European
Persian,25,2,77,455,Female,Indo-European
Croatian,19,3,85,541,Female,Indo-European
Turkish,21,10,101,448,Female,Altaic
Russian,24,5,84,566,Female,Indo-European
German,26,10,101,507,Female,Indo-European
Spanish,27,1,85,505,Female,Indo-European
Persian,25,5,19,483,Female,Indo-European
Albanian,27,2,78,491,Female,Indo-European
Hungarian,27,1,86,508,Female,Uralic
Romanian,35,1,86,519,Female,Indo-European
French,30,19,113,501,Female,Indo-European
Croatian,23,12,93,499,Female,Indo-European
German,22,1,54,548,Female,Indo-European
German,17,4,101,493,Female,Indo-European
Arabic,19,2,49,528,Female,Afro-Asiatic
Turkish,15,3,79,510,Female,Altaic
Turkish,26,3,79,488,Female,Altaic
Polish,23,4,100,475,Female,Indo-European
Russian,27,2,90,502,Female,Indo-European
Bosnian,23,3,91,535,Female,Indo-European
Polish,28,2,77,517,Female,Indo-European
Serbian,16,2,85,576,Female,Indo-European
Arabic,29,1,49,499,Female,Afro-Asiatic
Czech,31,1,90,534,Female,Indo-European
Greek,23,2,102,523,Female,Indo-European
Tagalog,30,4,83,501,Female,Austronesian
Russian,28,4,90,540,Female,Indo-European
German,39,1,101,567,Female,Indo-European
German,22,1,101,534,Female,Indo-European
Swahili,25,3,13,459,Female,Niger-Congo
Czech,32,2,90,535,Female,Indo-European
French,41,2,113,525,Female,Indo-European
Russian,27,5,90,527,Female,Indo-European
Persian,28,4,77,512,Female,Indo-European
Serbian,21,5,85,552,Female,Indo-European
Turkish,24,2,79,547,Female,Altaic
Bulgarian,23,1,90,547,Female,Indo-European
Russian,26,2,84,501,Female,Indo-European
Azerbaijani,25,5,84,518,Female,Altaic
Turkish,0,19,79,525,Female,Altaic
Turkish,18,2,101,513,Female,Altaic
English,23,7,148,513,Female,Indo-European
Czech,28,4,95,497,Female,Indo-European
German,20,1,101,501,Female,Indo-European
Arabic,23,19,49,542,Female,Afro-Asiatic
Turkish,17,1,79,545,Female,Altaic
Czech,27,1,95,554,Female,Indo-European
Italian,29,6,99,511,Female,Indo-European
German,24,5,101,623,Female,Indo-European
Polish,25,5,100,532,Female,Indo-European
Indonesian,23,1,64,492,Female,Austronesian
Czech,20,2,90,488,Female,Indo-European
Polish,21,5,100,545,Female,Indo-European
Russian,28,2,90,534,Female,Indo-European
Spanish,33,4,83,481,Female,Indo-European
Serbian,44,3,89,519,Female,Indo-European
Persian,21,2,19,561,Female,Indo-European
Finnish,48,2,111,489,Female,Uralic
Serbian,22,3,85,477,Female,Indo-European
Ukranian,21,5,90,537,Female,Indo-European
English,32,1,93,495,Female,Indo-European
Polish,19,2,100,561,Female,Indo-European
German,21,1,101,497,Female,Indo-European
Arabic,27,4,67,564,Female,Afro-Asiatic
Turkish,23,9,79,575,Female,Altaic
German,23,4,74,679,Female,Indo-European
Greek,34,0,102,496,Female,Indo-European
Norwegian,40,2,113,521,Female,Indo-European
Czech,24,4,90,551,Female,Indo-European
Russian,26,1,90,522,Female,Indo-European
Polish,19,1,100,507,Female,Indo-European
Czech,23,8,95,560,Female,Indo-European
German,29,2,101,577,Female,Indo-European
Javanese,26,1,64,497,Female,Austronesian
Turkish,22,3,79,506,Female,Altaic
Russian,37,3,90,430,Female,Indo-European
Chinese,24,2,67,495,Female,Sino-Tibetan
Czech,24,1,90,563,Female,Indo-European
Arabic,18,5,49,491,Female,Afro-Asiatic
Indonesian,29,1,64,492,Female,Austronesian
Czech,23,2,90,477,Female,Indo-European
French,51,2,113,486,Female,Indo-European
Bulgarian,22,7,90,524,Female,Indo-European
Arabic,23,9,31,520,Female,Afro-Asiatic
German,16,8,101,521,Female,Indo-European
Romanian,31,4,86,540,Female,Indo-European
Russian,22,1,90,575,Female,Indo-European
German,19,2,101,549,Female,Indo-European
English,29,3,94,574,Female,Indo-European
Arabic,19,7,49,521,Female,Afro-Asiatic
Czech,19,4,90,537,Female,Indo-European
Hebrew,39,3,93,526,Female,Afro-Asiatic
German,21,1,101,547,Female,Indo-European
Persian,18,4,77,558,Female,Indo-European
Lithuanian,26,2,90,498,Female,Indo-European
Spanish,21,2,118,566,Female,Indo-European
Czech,23,2,95,540,Female,Indo-European
Italian,26,11,99,522,Female,Indo-European
German,22,1,101,540,Female,Indo-European
Hungarian,46,4,96,502,Female,Uralic
Spanish,24,5,83,557,Female,Indo-European
Romanian,26,2,86,584,Female,Indo-European
Persian,20,1,77,476,Female,Indo-European
Spanish,35,3,86,540,Female,Indo-European
Czech,28,0,95,535,Female,Indo-European
Russian,18,8,99,561,Female,Indo-European
English,48,6,94,503,Female,Indo-European
English,32,1,105,529,Female,Indo-European
Russian,43,3,84,525,Female,Indo-European
Arabic,22,3,49,506,Female,Afro-Asiatic
German,30,2,101,567,Female,Indo-European
Romanian,34,2,86,516,Female,Indo-European
Bosnian,28,2,91,494,Female,Indo-European
Rundi,29,2,13,508,Female,Niger-Congo
Lithuanian,22,2,100,520,Female,Indo-European
Polish,24,1,100,514,Female,Indo-European
Russian,31,4,90,472,Female,Indo-European
Swedish,19,2,111,553,Female,Indo-European
Indonesian,23,5,64,575,Female,Austronesian
Serbian,26,1,85,574,Female,Indo-European
French,20,1,113,469,Female,Indo-European
German,30,1,101,528,Female,Indo-European
Spanish,35,3,86,546,Female,Indo-European
Polish,35,3,100,522,Female,Indo-European
Russian,46,2,90,526,Female,Indo-European
Czech,25,4,90,546,Female,Indo-European
Russian,19,1,84,546,Female,Indo-European
Persian,22,2,77,523,Female,Indo-European
Spanish,30,2,83,493,Female,Indo-European
Polish,36,8,100,520,Female,Indo-European
Japanese,39,1,101,504,Female,Japanese
Hungarian,28,2,86,490,Female,Uralic
German,23,6,100,654,Female,Indo-European
Czech,31,6,95,524,Female,Indo-European
Polish,29,2,100,540,Female,Indo-European
Czech,29,2,90,535,Female,Indo-European
Turkish,23,2,101,523,Female,Altaic
Spanish,41,2,74,513,Female,Indo-European
Czech,34,6,90,522,Female,Indo-European
Polish,24,10,100,457,Female,Indo-European
Armenian,24,4,90,515,Female,Indo-European
Tagalog,34,2,83,512,Female,Austronesian
Chinese,19,1,67,429,Female,Sino-Tibetan
Czech,27,2,95,533,Female,Indo-European
Armenian,39,4,90,501,Female,Indo-European
Indonesian,24,1,64,539,Female,Austronesian
Russian,18,1,90,448,Female,Indo-European
Spanish,35,2,82,489,Female,Indo-European
English,27,7,105,556,Female,Indo-European
Spanish,27,1,118,545,Female,Indo-European
German,28,7,101,623,Female,Indo-European
German,26,3,101,579,Female,Indo-European
Russian,23,1,90,498,Female,Indo-European
German,40,1,101,560,Female,Indo-European
Romanian,30,3,86,571,Female,Indo-European
Czech,19,4,90,510,Female,Indo-European
English,28,2,35,519,Female,Indo-European
Spanish,34,15,82,459,Female,Indo-European
Spanish,26,1,85,514,Female,Indo-European
Portugese,18,10,97,528,Female,Indo-European
Italian,17,1,99,545,Female,Indo-European
Portugese,26,2,106,504,Female,Indo-European
English,25,12,105,587,Female,Indo-European
German,22,0,101,623,Female,Indo-European
Spanish,23,2,118,550,Female,Indo-European
Czech,26,2,90,553,Female,Indo-European
Turkish,17,16,79,600,Female,Altaic
Arabic,17,4,31,526,Female,Afro-Asiatic
German,25,2,101,547,Female,Indo-European
Polish,30,1,100,523,Female,Indo-European
Polish,38,3,100,488,Female,Indo-European
Turkish,26,2,79,514,Female,Altaic
Arabic,25,2,49,482,Female,Afro-Asiatic
Spanish,21,23,118,530,Female,Indo-European
Russian,23,1,90,572,Female,Indo-European
Indonesian,16,7,64,494,Female,Austronesian
German,20,1,101,553,Female,Indo-European
Turkish,19,7,79,551,Female,Altaic
German,29,1,101,512,Female,Indo-European
English,23,2,94,487,Female,Indo-European
Byelorussian,39,3,96,543,Female,Indo-European
Russian,32,5,90,530,Female,Indo-European
Turkish,13,8,118,512,Female,Altaic
Russian,25,2,90,541,Female,Indo-European
Russian,35,2,90,639,Female,Indo-European
Czech,20,1,90,562,Female,Indo-European
Armenian,39,2,47,477,Female,Indo-European
Romanian,24,4,86,497,Female,Indo-European
Romanian,23,1,86,540,Female,Indo-European
Chinese,26,3,67,467,Female,Sino-Tibetan
Swedish,29,2,103,503,Female,Indo-European
Italian,30,3,99,561,Female,Indo-European
Persian,28,5,19,543,Female,Indo-European
Russian,32,1,84,517,Female,Indo-European
English,24,5,105,536,Female,Indo-European
Spanish,25,1,118,473,Female,Indo-European
Lithuanian,24,2,90,497,Female,Indo-European
Persian,28,5,77,496,Female,Indo-European
German,27,0,101,612,Female,Indo-European
Arabic,18,3,49,501,Female,Afro-Asiatic
Czech,24,1,90,605,Female,Indo-European
German,25,3,101,559,Female,Indo-European
Czech,20,8,90,513,Female,Indo-European
Romanian,43,2,86,507,Female,Indo-European
Czech,25,8,95,567,Female,Indo-European
Russian,43,2,90,451,Female,Indo-European
Arabic,27,2,79,505,Female,Afro-Asiatic
Kurdish,25,5,47,520,Female,Indo-European
Turkish,21,6,79,490,Female,Altaic
Romanian,31,3,86,597,Female,Indo-European
German,27,0,101,579,Female,Indo-European
Afrikaans,28,2,93,551,Female,Indo-European
Romanian,41,4,86,528,Female,Indo-European
Serbian,30,7,85,591,Female,Indo-European
Russian,31,2,84,490,Female,Indo-European
Russian,25,6,90,504,Female,Indo-European
Russian,22,2,90,499,Female,Indo-European
Russian,26,2,90,519,Female,Indo-European
Serbian,26,3,85,485,Female,Indo-European
Czech,36,2,90,540,Female,Indo-European
Polish,34,3,100,546,Female,Indo-European
Tamazight,19,2,49,507,Female,Afro-Asiatic
English,25,5,148,544,Female,Indo-European
Hungarian,24,18,86,561,Female,Uralic
German,7,12,84,531,Female,Indo-European
Polish,34,2,100,526,Female,Indo-European
Serbian,13,4,85,551,Female,Indo-European
Czech,20,1,90,549,Female,Indo-European
Czech,25,3,95,535,Female,Indo-European
Turkish,17,4,118,450,Female,Altaic
Russian,34,2,90,540,Female,Indo-European
Polish,22,1,100,487,Female,Indo-European
Czech,24,2,90,541,Female,Indo-European
German,21,0,101,506,Female,Indo-European
Czech,19,2,90,529,Female,Indo-European
Spanish,25,3,85,499,Female,Indo-European
Russian,26,3,90,485,Female,Indo-European
Russian,27,6,90,476,Female,Indo-European
French,34,2,113,468,Female,Indo-European
Arabic,27,5,79,536,Female,Afro-Asiatic
Spanish,34,1,74,475,Female,Indo-European
Serbian,23,2,89,533,Female,Indo-European
Tagalog,17,2,83,530,Female,Austronesian
Polish,31,3,100,556,Female,Indo-European
Russian,29,1,90,541,Female,Indo-European
English,30,3,94,535,Female,Indo-European
Slovak,23,3,90,580,Female,Indo-European
Czech,35,11,90,523,Female,Indo-European
Russian,28,2,90,503,Female,Indo-European
English,22,2,105,549,Female,Indo-European
Czech,43,2,90,507,Female,Indo-European
English,29,1,94,497,Female,Indo-European
Spanish,30,1,82,481,Female,Indo-European
Arabic,19,11,49,508,Female,Afro-Asiatic
Italian,23,0,99,489,Female,Indo-European
German,24,1,101,557,Female,Indo-European
Czech,31,2,95,539,Female,Indo-European
Indonesian,15,9,64,557,Female,Austronesian
Italian,29,3,99,499,Female,Indo-European
Portugese,24,3,106,518,Female,Indo-European
Spanish,33,3,91,516,Female,Indo-European
Polish,19,1,100,547,Female,Indo-European
Spanish,28,2,74,501,Female,Indo-European
Spanish,20,1,118,557,Female,Indo-European
Czech,28,1,90,582,Female,Indo-European
Persian,18,1,77,448,Female,Indo-European
Czech,26,5,90,542,Female,Indo-European
German,20,1,101,559,Female,Indo-European
German,9,10,101,524,Female,Indo-European
Czech,28,1,90,548,Female,Indo-European
German,23,1,101,595,Female,Indo-European
Persian,28,4,77,533,Female,Indo-European
Arabic,21,2,49,455,Female,Afro-Asiatic
Czech,20,1,90,534,Female,Indo-European
Chinese,38,3,67,490,Female,Sino-Tibetan
German,31,1,101,560,Female,Indo-European
Czech,22,1,90,589,Female,Indo-European
Greek,32,6,102,503,Female,Indo-European
Russian,36,6,90,520,Female,Indo-European
English,13,5,105,579,Female,Indo-European
Arabic,44,6,47,473,Female,Afro-Asiatic
French,25,2,113,506,Female,Indo-European
German,31,1,101,618,Female,Indo-European
English,24,4,94,539,Female,Indo-European
Greek,31,9,102,527,Female,Indo-European
German,21,1,101,554,Female,Indo-European
Russian,29,3,84,550,Female,Indo-European
Polish,27,1,100,561,Female,Indo-European
Arabic,22,4,31,455,Female,Afro-Asiatic
English,33,3,94,536,Female,Indo-European
Czech,26,4,95,548,Female,Indo-European
Russian,27,2,84,567,Female,Indo-European
German,14,7,101,498,Female,Indo-European
English,37,2,105,539,Female,Indo-European
English,35,1,94,519,Female,Indo-European
German,23,6,101,550,Female,Indo-European
Bulgarian,19,3,90,518,Female,Indo-European
Russian,22,2,90,499,Female,Indo-European
Czech,27,2,90,531,Female,Indo-European
German,35,2,101,555,Female,Indo-European
Polish,18,1,100,485,Female,Indo-European
Arabic,21,6,49,501,Female,Afro-Asiatic
Turkish,24,3,101,508,Female,Altaic
Chinese,29,1,67,513,Female,Sino-Tibetan
Armenian,12,7,84,562,Female,Indo-European
Czech,21,3,90,578,Female,Indo-European
Arabic,35,5,47,458,Female,Afro-Asiatic
English,35,1,105,583,Female,Indo-European
Swedish,22,1,111,546,Female,Indo-European
Spanish,35,2,82,543,Female,Indo-European
Portugese,39,2,106,489,Female,Indo-European
Russian,18,1,84,486,Female,Indo-European
Italian,33,1,106,541,Female,Indo-European
German,19,6,101,615,Female,Indo-European
Czech,24,2,90,562,Female,Indo-European
Turkish,33,2,79,537,Female,Altaic
Czech,26,2,95,537,Female,Indo-European
Czech,19,2,90,555,Female,Indo-European
German,29,1,101,564,Female,Indo-European
German,35,6,101,614,Female,Indo-European
Indonesian,37,2,64,475,Female,Austronesian
German,30,3,101,548,Female,Indo-European
German,31,2,101,583,Female,Indo-European
Spanish,22,6,51,558,Female,Indo-European
German,18,1,101,556,Female,Indo-European
Russian,27,2,84,578,Female,Indo-European
Arabic,24,3,47,495,Female,Afro-Asiatic
Afrikaans,26,2,93,643,Female,Indo-European
Polish,22,2,100,606,Female,Indo-European
Polish,26,0,100,511,Female,Indo-European
Polish,13,13,100,582,Female,Indo-European
Turkish,23,1,79,573,Female,Altaic
Czech,19,3,90,518,Female,Indo-European
Czech,19,3,90,543,Female,Indo-European
Spanish,17,2,86,625,Female,Indo-European
Russian,49,3,90,485,Female,Indo-European
Finnish,29,1,111,559,Female,Uralic
Danish,23,14,124,600,Female,Indo-European
German,20,1,101,539,Female,Indo-European
Persian,31,9,19,478,Female,Indo-European
Arabic,22,6,49,440,Female,Afro-Asiatic
Russian,25,3,90,531,Female,Indo-European
Serbian,29,6,85,522,Female,Indo-European
Portugese,24,2,97,530,Female,Indo-European
Arabic,21,3,49,552,Female,Afro-Asiatic
Catalan,23,2,118,486,Female,Indo-European
Spanish,29,2,118,511,Female,Indo-European
Spanish,32,5,118,531,Female,Indo-European
Czech,17,3,95,522,Female,Indo-European
English,24,28,105,571,Female,Indo-European
Russian,22,2,90,489,Female,Indo-European
Arabic,20,4,49,486,Female,Afro-Asiatic
Chinese,26,4,69,534,Female,Sino-Tibetan
Portugese,21,10,68,512,Female,Indo-European
Russian,27,2,90,572,Female,Indo-European
Romanian,25,4,86,539,Female,Indo-European
Tagalog,25,3,83,454,Female,Austronesian
Arabic,24,2,47,469,Female,Afro-Asiatic
Kurdish,31,3,79,472,Female,Indo-European
German,24,1,100,531,Female,Indo-European
Croatian,29,2,93,533,Female,Indo-European
Czech,29,3,95,529,Female,Indo-European
German,21,1,100,601,Female,Indo-European
Czech,19,2,90,506,Female,Indo-European
Czech,24,1,90,541,Female,Indo-European
Chinese,26,2,67,441,Female,Sino-Tibetan
Turkish,26,3,79,478,Female,Altaic
German,34,4,101,580,Female,Indo-European
Russian,26,1,90,535,Female,Indo-European
Serbian,28,6,85,520,Female,Indo-European
Armenian,43,5,90,485,Female,Indo-European
Czech,30,2,95,524,Female,Indo-European
Czech,24,2,90,546,Female,Indo-European
Serbian,23,3,85,510,Female,Indo-European
Russian,23,1,100,523,Female,Indo-European
Tagalog,34,1,83,482,Female,Austronesian
Portugese,23,5,106,490,Female,Indo-European
Czech,20,3,90,548,Female,Indo-European
Spanish,28,2,91,553,Female,Indo-European
Russian,30,1,90,528,Female,Indo-European
Russian,21,11,84,556,Female,Indo-European
Slovak,24,1,94,507,Female,Indo-European
Italian,30,3,99,527,Female,Indo-European
Romanian,27,2,86,542,Female,Indo-European
Finnish,24,1,111,517,Female,Uralic
Ukranian,28,4,90,494,Female,Indo-European
Russian,27,2,90,548,Female,Indo-European
Czech,20,1,90,514,Female,Indo-European
Arabic,18,3,49,533,Female,Afro-Asiatic
English,24,2,105,544,Female,Indo-European
Serbian,28,3,85,510,Female,Indo-European
Finnish,28,2,111,575,Female,Uralic
Czech,19,13,90,566,Female,Indo-European
Persian,29,6,77,492,Female,Indo-European
German,20,1,101,532,Female,Indo-European
Tagalog,18,17,83,529,Female,Austronesian
Czech,38,8,95,521,Female,Indo-European
Persian,18,1,19,525,Female,Indo-European
Arabic,25,15,49,548,Female,Afro-Asiatic
Greek,31,0,101,601,Female,Indo-European
Polish,47,3,111,508,Female,Indo-European
Russian,25,0,84,534,Female,Indo-European
Spanish,23,2,118,567,Female,Indo-European
German,28,1,101,631,Female,Indo-European
German,21,1,101,506,Female,Indo-European
Serbian,24,3,85,503,Female,Indo-European
Russian,35,2,84,543,Female,Indo-European
Turkish,17,5,79,495,Female,Altaic
German,29,4,101,570,Female,Indo-European
Portugese,25,4,106,559,Female,Indo-European
Czech,22,2,90,527,Female,Indo-European
Czech,23,1,90,525,Female,Indo-European
Japanese,31,14,101,500,Female,Japanese
Czech,20,2,90,541,Female,Indo-European
Arabic,19,22,49,522,Female,Afro-Asiatic
Croatian,43,4,85,509,Female,Indo-European
Serbian,26,3,85,525,Female,Indo-European
German,28,3,101,615,Female,Indo-European
Persian,28,1,19,501,Female,Indo-European
Czech,22,2,90,487,Female,Indo-European
Turkish,26,16,79,479,Female,Altaic
Turkish,15,11,79,521,Female,Altaic
Arabic,26,2,49,520,Female,Afro-Asiatic
Hungarian,19,1,86,561,Female,Uralic
German,20,0,101,503,Female,Indo-European
Czech,21,3,90,547,Female,Indo-European
Turkish,24,10,79,521,Female,Altaic
Czech,35,11,90,518,Female,Indo-European
Ukranian,24,2,95,523,Female,Indo-European
Czech,19,2,90,534,Female,Indo-European
Arabic,34,8,43,488,Female,Afro-Asiatic
Persian,20,3,77,479,Female,Indo-European
Bulgarian,19,5,90,498,Female,Indo-European
Portugese,26,7,106,540,Female,Indo-European
Arabic,28,3,67,494,Female,Afro-Asiatic
Czech,30,1,90,538,Female,Indo-European
German,38,18,101,610,Female,Indo-European
Ukranian,24,2,90,449,Female,Indo-European
French,20,2,113,522,Female,Indo-European
Arabic,18,4,47,503,Female,Afro-Asiatic
Spanish,43,2,118,516,Female,Indo-European
Russian,34,2,84,499,Female,Indo-European
Czech,24,10,90,598,Female,Indo-European
Spanish,29,3,65,518,Female,Indo-European
Swedish,20,0,111,596,Female,Indo-European
German,42,4,101,524,Female,Indo-European
German,27,0,101,531,Female,Indo-European
Romanian,21,3,86,480,Female,Indo-European
Spanish,33,2,82,548,Female,Indo-European
Russian,18,3,90,521,Female,Indo-European
Russian,44,3,100,523,Female,Indo-European
Arabic,29,4,19,495,Female,Afro-Asiatic
Hungarian,21,1,96,490,Female,Uralic
Turkish,35,1,79,523,Female,Altaic
Arabic,24,1,49,533,Female,Afro-Asiatic
Swahili,22,2,48,528,Female,Niger-Congo
Arabic,19,3,49,542,Female,Afro-Asiatic
Polish,25,3,100,534,Female,Indo-European
Italian,34,6,99,517,Female,Indo-European
Hungarian,19,1,96,532,Female,Uralic
English,9,16,148,602,Female,Indo-European
Greek,31,2,148,522,Female,Indo-European
Arabic,39,2,49,511,Female,Afro-Asiatic
English,33,3,94,528,Female,Indo-European
Turkish,22,2,79,554,Female,Altaic
Persian,24,4,19,499,Female,Indo-European
Indonesian,28,2,64,485,Female,Austronesian
German,20,1,101,622,Female,Indo-European
Tagalog,21,6,83,516,Female,Austronesian
Czech,19,3,90,540,Female,Indo-European
Czech,23,1,90,562,Female,Indo-European
Somali,19,20,8,533,Female,Afro-Asiatic
Polish,28,0,100,502,Female,Indo-European
Spanish,26,3,118,530,Female,Indo-European
Czech,22,3,95,526,Female,Indo-European
Polish,26,1,100,554,Female,Indo-European
Slovak,23,2,94,554,Female,Indo-European
Russian,37,2,84,507,Female,Indo-European
Czech,19,4,90,576,Female,Indo-European
Czech,29,3,90,514,Female,Indo-European
Spanish,23,2,85,462,Female,Indo-European
Polish,19,7,100,511,Female,Indo-European
Arabic,17,17,49,530,Female,Afro-Asiatic
German,46,2,101,529,Female,Indo-European
Hebrew,25,3,93,537,Female,Afro-Asiatic
Russian,25,1,90,525,Female,Indo-European
Russian,23,1,90,543,Female,Indo-European
German,42,2,101,549,Female,Indo-European
Russian,26,1,90,490,Female,Indo-European
German,29,1,101,552,Female,Indo-European
Polish,21,1,100,562,Female,Indo-European
Czech,25,2,90,548,Female,Indo-European
Czech,19,2,90,554,Female,Indo-European
Swahili,30,5,48,524,Female,Niger-Congo
German,19,10,101,535,Female,Indo-European
Indonesian,22,1,64,492,Female,Austronesian
Arabic,21,1,31,521,Female,Afro-Asiatic
Arabic,33,4,47,482,Female,Afro-Asiatic
Turkish,23,17,79,473,Female,Altaic
Afrikaans,41,2,93,530,Female,Indo-European
Albanian,27,2,85,494,Female,Indo-European
Ukranian,28,2,90,552,Female,Indo-European
Turkish,24,3,79,485,Female,Altaic
Tigrigna,20,2,30,506,Female,Afro-Asiatic
Hungarian,27,0,96,520,Female,Uralic
Ukranian,27,4,90,567,Female,Indo-European
Arabic,18,3,67,499,Female,Afro-Asiatic
Russian,30,2,90,551,Female,Indo-European
German,28,1,101,554,Female,Indo-European
Ukranian,22,7,90,478,Female,Indo-European
Polish,20,4,100,537,Female,Indo-European
Russian,45,2,90,489,Female,Indo-European
Spanish,33,2,118,501,Female,Indo-European
Spanish,21,5,118,554,Female,Indo-European
Ukranian,26,2,90,472,Female,Indo-European
German,25,2,101,545,Female,Indo-European
English,34,2,27,433,Female,Indo-European
Arabic,22,5,49,520,Female,Afro-Asiatic
Danish,20,5,124,552,Female,Indo-European
Hebrew,20,8,93,549,Female,Afro-Asiatic
Arabic,35,8,49,526,Female,Afro-Asiatic
Japanese,26,1,101,502,Female,Japanese
Spanish,33,3,118,543,Female,Indo-European
Arabic,27,1,49,464,Female,Afro-Asiatic
Danish,35,3,124,594,Female,Indo-European
Russian,12,11,90,591,Female,Indo-European
Indonesian,28,4,64,527,Female,Austronesian
Tagalog,20,2,83,530,Female,Austronesian
Russian,23,2,90,575,Female,Indo-European
Danish,28,2,99,551,Female,Indo-European
German,8,11,101,528,Female,Indo-European
French,26,2,113,487,Female,Indo-European
Danish,24,24,124,666,Female,Indo-European
Polish,25,1,100,556,Female,Indo-European
Russian,33,3,90,523,Female,Indo-European
Bosnian,26,2,85,522,Female,Indo-European
Danish,25,2,124,555,Female,Indo-European
Hebrew,27,2,93,518,Female,Afro-Asiatic
English,27,4,94,535,Female,Indo-European
Spanish,36,4,83,468,Female,Indo-European
German,20,1,101,482,Female,Indo-European
Romanian,23,1,86,501,Female,Indo-European
Romanian,42,7,86,484,Female,Indo-European
Turkish,24,3,79,478,Female,Altaic
Danish,19,3,124,561,Female,Indo-European
Turkish,19,8,79,547,Female,Altaic
Russian,38,3,90,538,Female,Indo-European
Russian,24,2,90,559,Female,Indo-European
Turkish,15,14,79,490,Female,Altaic
Portugese,27,5,106,469,Female,Indo-European
Persian,31,2,77,488,Female,Indo-European
Arabic,22,1,118,502,Female,Afro-Asiatic
Danish,27,1,124,549,Female,Indo-European
German,28,1,101,598,Female,Indo-European
Spanish,31,2,86,587,Female,Indo-European
Spanish,35,7,118,540,Female,Indo-European
Turkish,27,4,79,526,Female,Altaic
Tigrigna,31,3,30,508,Female,Afro-Asiatic
German,21,17,101,567,Female,Indo-European
Persian,32,6,77,515,Female,Indo-European
Serbian,30,2,85,543,Female,Indo-European
Polish,22,4,100,560,Female,Indo-European
Bulgarian,27,5,90,518,Female,Indo-European
Turkish,26,2,101,558,Female,Altaic
Armenian,27,3,90,499,Female,Indo-European
German,39,2,94,530,Female,Indo-European
Portugese,26,2,106,531,Female,Indo-European
Arabic,34,11,47,530,Female,Afro-Asiatic
Danish,31,2,124,537,Female,Indo-European
German,24,6,101,556,Female,Indo-European
German,29,1,101,608,Female,Indo-European
Japanese,30,2,101,506,Female,Japanese
Romanian,21,2,86,500,Female,Indo-European
Spanish,25,4,85,550,Female,Indo-European
Russian,24,9,84,511,Female,Indo-European
Danish,23,1,124,559,Female,Indo-European
Russian,20,2,90,514,Female,Indo-European
German,21,0,101,526,Female,Indo-European
Portugese,28,1,106,527,Female,Indo-European
Danish,25,0,124,506,Female,Indo-European
Polish,23,2,100,522,Female,Indo-European
Danish,24,2,124,583,Female,Indo-European
English,34,1,100,523,Female,Indo-European
German,19,10,101,513,Female,Indo-European
Estonian,16,9,90,502,Female,Uralic
Italian,20,2,99,579,Female,Indo-European
